                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7036,                  5.429,                 1.3499,                      0,                      0,                      0,                      0,                0.88651,                  5.247,                 1.0838,              2.236e-05,              2.236e-05,              2.236e-05
                      2,                  1.156,                  5.324,                 1.1627,                      0,                      0,                      0,                      0,                0.90739,                 5.0009,                0.90307,             4.6348e-05,             4.6348e-05,             4.6348e-05
                      3,                0.88903,                 5.1661,                 1.0405,                      0,                      0,                      0,                      0,                0.70894,                 4.8866,                0.85197,             7.0241e-05,             7.0241e-05,             7.0241e-05
                      4,                0.76249,                 4.9607,                0.94903,                      0,                      0,                      0,                      0,                0.69926,                 4.7899,                0.84648,             9.4038e-05,             9.4038e-05,             9.4038e-05
                      5,                0.72731,                  4.826,                0.91787,                0.00594,                0.01033,                0.00396,                0.00315,                 0.6279,                 4.6482,                0.83966,             0.00011774,             0.00011774,             0.00011774
                      6,                0.71638,                 4.6083,                0.90629,                0.01781,                 0.1135,                0.02398,                0.02093,                 0.5666,                 4.4117,                0.83637,             0.00014135,             0.00014135,             0.00014135
                      7,                 0.6681,                 4.4885,                0.90155,                0.01966,                0.18383,                0.03408,                0.02873,                0.55481,                 4.2953,                0.84431,             0.00016486,             0.00016486,             0.00016486
                      8,                0.65096,                 4.4031,                0.88114,                0.01611,                0.23529,                0.04076,                0.03564,                0.54909,                 4.1402,                 0.8475,             0.00016962,             0.00016962,             0.00016962
                      9,                0.62604,                 4.1769,                0.88474,                 0.0141,                0.25296,                0.03897,                0.03345,                0.55436,                 4.0187,                0.84618,             0.00016962,             0.00016962,             0.00016962
                     10,                0.65292,                 4.1056,                0.88269,                0.01509,                0.29241,                0.04684,                0.04143,                0.54643,                 3.9201,                0.84762,             0.00016928,             0.00016928,             0.00016928
                     11,                0.62368,                 4.0243,                0.88452,                0.27655,                0.17684,                0.05497,                0.04866,                0.50944,                 3.8187,                0.84543,             0.00016893,             0.00016893,             0.00016893
                     12,                0.59809,                 3.9378,                 0.8812,                0.62604,                0.06169,                0.07583,                0.06625,                 0.5069,                 3.7208,                0.85091,             0.00016859,             0.00016859,             0.00016859
                     13,                0.60337,                 3.8822,                0.87573,                0.63919,                0.07508,                0.09478,                0.08434,                0.47953,                 3.5664,                0.85482,             0.00016825,             0.00016825,             0.00016825
                     14,                0.60474,                 3.6155,                0.88439,                0.61598,                0.09353,                0.10967,                0.09716,                0.49601,                 3.2747,                0.86943,             0.00016791,             0.00016791,             0.00016791
                     15,                0.58802,                 3.6237,                0.87839,                0.65614,                0.11537,                0.12153,                0.10734,                0.47858,                 3.0786,                0.87478,             0.00016757,             0.00016757,             0.00016757
                     16,                0.58194,                 3.4011,                0.88082,                0.72206,                0.12854,                0.13593,                0.12106,                0.46574,                 2.8834,                0.87496,             0.00016723,             0.00016723,             0.00016723
                     17,                0.58157,                 3.3234,                 0.8785,                0.76134,                0.14759,                0.14968,                0.13312,                0.47459,                 2.7522,                0.87828,             0.00016689,             0.00016689,             0.00016689
                     18,                0.56074,                 3.0682,                0.87926,                0.80648,                0.16515,                0.17348,                0.15608,                0.47156,                 2.6115,                0.87697,             0.00016655,             0.00016655,             0.00016655
                     19,                0.58921,                 3.2399,                0.86687,                0.89317,                0.13965,                 0.1812,                0.16493,                0.45323,                  2.633,                 0.8694,             0.00016621,             0.00016621,             0.00016621
                     20,                0.54865,                 2.9144,                0.87935,                0.92842,                0.15141,                0.19371,                0.17342,                0.46966,                 2.5219,                0.86002,             0.00016587,             0.00016587,             0.00016587
                     21,                0.55502,                 2.8289,                0.88006,                0.95046,                0.14625,                0.20824,                0.18919,                0.45106,                 2.3257,                0.86321,             0.00016553,             0.00016553,             0.00016553
                     22,                0.55383,                 2.7717,                0.87348,                0.89495,                0.17989,                0.23487,                0.21616,                0.44078,                 2.3044,                0.86303,             0.00016519,             0.00016519,             0.00016519
                     23,                0.56248,                  2.726,                0.87352,                0.91139,                0.18595,                0.26194,                 0.2405,                0.44922,                 2.1218,                0.86883,             0.00016485,             0.00016485,             0.00016485
                     24,                  0.549,                 2.6029,                0.87477,                0.90209,                 0.2262,                0.30129,                0.27982,                0.42306,                  1.871,                0.86749,             0.00016451,             0.00016451,             0.00016451
                     25,                0.52799,                 2.4912,                0.87387,                0.84828,                0.24092,                 0.3093,                 0.2857,                0.42273,                 1.9022,                0.85563,             0.00016417,             0.00016417,             0.00016417
                     26,                0.55594,                 2.3262,                  0.874,                0.75735,                0.30093,                0.32193,                0.29749,                0.42363,                 1.8238,                 0.8609,             0.00016383,             0.00016383,             0.00016383
                     27,                0.53962,                 2.2425,                0.88542,                0.84022,                0.25981,                0.35389,                0.32507,                0.42521,                 1.7812,                0.86021,             0.00016349,             0.00016349,             0.00016349
                     28,                0.53134,                 2.2077,                0.87555,                0.90618,                0.23941,                0.35408,                0.32587,                0.42679,                 1.6763,                 0.8595,             0.00016315,             0.00016315,             0.00016315
                     29,                0.51726,                 2.1531,                0.87132,                0.60196,                0.32859,                0.35168,                0.32723,                0.41009,                  1.611,                0.85572,              0.0001628,              0.0001628,              0.0001628
                     30,                0.53842,                 2.0655,                0.87529,                0.66737,                0.33648,                0.36898,                0.35011,                0.39394,                 1.5171,                0.84934,             0.00016246,             0.00016246,             0.00016246
                     31,                0.52844,                 2.0923,                0.87951,                0.68716,                0.35376,                0.38382,                0.36066,                  0.398,                   1.46,                0.85873,             0.00016212,             0.00016212,             0.00016212
                     32,                0.54828,                 1.9164,                0.87384,                0.70077,                0.34927,                0.40994,                0.38021,                0.43615,                  1.408,                0.87311,             0.00016178,             0.00016178,             0.00016178
                     33,                0.50813,                  1.925,                0.87296,                0.75737,                0.34247,                 0.4219,                0.39514,                0.39944,                  1.374,                0.85795,             0.00016144,             0.00016144,             0.00016144
                     34,                0.49025,                 1.8176,                0.86476,                 0.6392,                0.36778,                0.43622,                0.40383,                0.43277,                 1.2779,                0.86452,              0.0001611,              0.0001611,              0.0001611
                     35,                0.50109,                  1.747,                0.86987,                0.66305,                0.38637,                0.46238,                0.43264,                0.42325,                 1.2248,                0.87125,             0.00016076,             0.00016076,             0.00016076
                     36,                0.49314,                 1.9033,                0.86219,                0.56659,                0.43264,                0.50827,                0.48145,                0.38502,                 1.2006,                0.85774,             0.00016042,             0.00016042,             0.00016042
                     37,                0.51683,                 1.7153,                0.88332,                0.58034,                0.44787,                0.53963,                0.50209,                0.43514,                 1.1648,                 0.8661,             0.00016008,             0.00016008,             0.00016008
                     38,                0.49696,                 1.5967,                0.88236,                0.62404,                0.37632,                0.49559,                0.45881,                0.41115,                 1.0968,                0.85961,             0.00015974,             0.00015974,             0.00015974
                     39,                0.49976,                 1.6575,                0.87057,                0.57941,                0.44265,                0.51722,                0.48579,                0.39749,                 1.1494,                0.85461,              0.0001594,              0.0001594,              0.0001594
                     40,                0.49816,                 1.6357,                0.87678,                0.57578,                0.55418,                0.59936,                0.56584,                0.40668,                 1.1216,                0.85957,             0.00015906,             0.00015906,             0.00015906
                     41,                0.49818,                 1.4988,                0.87691,                0.55104,                0.56414,                0.62181,                0.58379,                0.40955,                0.99595,                0.85668,             0.00015872,             0.00015872,             0.00015872
                     42,                0.47656,                 1.4647,                0.86684,                0.50609,                0.63534,                0.63858,                 0.6101,                0.38123,                0.98772,                 0.8511,             0.00015838,             0.00015838,             0.00015838
                     43,                0.48277,                  1.449,                0.86337,                0.58798,                0.58568,                0.64296,                0.61307,                0.36822,                0.98309,                 0.8508,             0.00015804,             0.00015804,             0.00015804
                     44,                0.47254,                 1.4272,                0.86749,                0.55873,                0.63425,                0.65632,                0.62929,                0.37613,                0.91343,                0.85152,              0.0001577,              0.0001577,              0.0001577
                     45,                0.48139,                 1.3601,                0.86669,                0.56462,                0.65162,                0.65447,                0.61713,                0.38757,                0.88712,                0.85446,             0.00015736,             0.00015736,             0.00015736
                     46,                0.48221,                 1.4262,                0.87056,                0.64371,                0.62887,                0.68488,                0.64486,                0.38276,                0.90868,                0.84887,             0.00015702,             0.00015702,             0.00015702
                     47,                0.48549,                 1.4084,                0.87181,                0.61343,                0.62148,                 0.6904,                0.65619,                0.37888,                0.91661,                0.84981,             0.00015667,             0.00015667,             0.00015667
                     48,                0.47908,                 1.3348,                 0.8651,                0.58575,                0.59384,                0.66309,                 0.6307,                0.38837,                0.90741,                0.85372,             0.00015633,             0.00015633,             0.00015633
                     49,                0.47212,                 1.2632,                0.86347,                0.58308,                0.62997,                0.68947,                 0.6638,                0.36556,                0.88223,                0.84978,             0.00015599,             0.00015599,             0.00015599
                     50,                0.47873,                 1.3908,                 0.8655,                0.62165,                0.65221,                0.70801,                0.67542,                0.39432,                0.87447,                0.84757,             0.00015565,             0.00015565,             0.00015565
                     51,                0.48002,                 1.3757,                0.85695,                 0.5983,                0.66288,                0.72149,                0.68764,                0.37914,                0.83108,                0.84625,             0.00015531,             0.00015531,             0.00015531
                     52,                0.48612,                  1.336,                0.85769,                 0.5862,                0.68348,                0.71625,                0.67785,                0.39324,                0.82321,                0.84873,             0.00015497,             0.00015497,             0.00015497
                     53,                0.47136,                 1.2169,                0.87306,                0.58447,                0.65266,                0.71522,                0.67212,                0.39612,                0.85746,                0.85219,             0.00015463,             0.00015463,             0.00015463
                     54,                0.45325,                 1.0754,                0.87094,                0.61502,                0.63157,                0.72122,                0.68758,                0.37414,                0.84769,                0.84739,             0.00015429,             0.00015429,             0.00015429
                     55,                 0.4536,                 1.2658,                0.86518,                0.58177,                0.69229,                0.74699,                0.71244,                0.38015,                0.81723,                 0.8493,             0.00015395,             0.00015395,             0.00015395
                     56,                0.47555,                 1.1906,                0.86015,                 0.7007,                0.76059,                0.78565,                0.75088,                0.36078,                0.76867,                0.84401,             0.00015361,             0.00015361,             0.00015361
                     57,                0.46675,                 1.1821,                0.86565,                0.68663,                0.76282,                0.81111,                 0.7694,                0.38122,                0.74211,                 0.8498,             0.00015327,             0.00015327,             0.00015327
                     58,                0.46079,                 1.1318,                0.86649,                0.68575,                0.73846,                0.81034,                0.77696,                0.35498,                0.72694,                0.84228,             0.00015293,             0.00015293,             0.00015293
                     59,                0.46991,                  1.184,                0.85622,                0.67673,                0.75369,                0.80463,                0.76903,                0.35901,                0.75396,                0.84353,             0.00015259,             0.00015259,             0.00015259
                     60,                0.46081,                 1.1216,                0.85953,                0.78209,                0.71908,                0.82732,                0.79302,                0.36215,                0.74713,                0.84649,             0.00015225,             0.00015225,             0.00015225
                     61,                 0.4627,                 1.1037,                0.87346,                0.77975,                0.73052,                0.82814,                0.78906,                0.36834,                0.73444,                0.84615,             0.00015191,             0.00015191,             0.00015191
                     62,                0.47208,                 1.1256,                0.85826,                 0.8012,                0.72599,                0.84816,                0.81317,                0.36082,                0.71406,                0.84048,             0.00015157,             0.00015157,             0.00015157
                     63,                0.46318,                 1.0931,                  0.862,                0.85717,                0.65987,                0.84118,                0.80345,                0.38274,                0.70554,                0.84107,             0.00015123,             0.00015123,             0.00015123
                     64,                 0.4621,                 1.1964,                0.86292,                0.73133,                0.73702,                0.84169,                0.81013,                0.35584,                0.69116,                0.83827,             0.00015089,             0.00015089,             0.00015089
                     65,                0.44223,                 1.1104,                0.85476,                0.82132,                 0.6981,                0.83998,                0.79958,                0.37525,                0.69367,                0.84359,             0.00015054,             0.00015054,             0.00015054
                     66,                0.44876,                 1.1037,                0.87577,                0.60038,                0.81797,                0.86189,                0.82176,                0.35035,                0.66584,                 0.8392,              0.0001502,              0.0001502,              0.0001502
                     67,                0.43998,                  1.065,                0.86298,                 0.7282,                0.76066,                0.87317,                0.83886,                0.35109,                0.67092,                0.83841,             0.00014986,             0.00014986,             0.00014986
                     68,                0.44128,                0.99605,                0.85713,                0.65913,                0.81844,                0.89532,                0.85485,                0.34653,                0.66822,                0.83778,             0.00014952,             0.00014952,             0.00014952
                     69,                0.45665,                 1.0452,                0.86375,                0.61611,                0.83702,                0.89798,                0.85295,                0.37605,                0.67882,                0.85314,             0.00014918,             0.00014918,             0.00014918
                     70,                0.46664,                 1.0711,                0.88226,                0.79958,                0.74728,                0.90525,                0.87397,                0.35674,                 0.6533,                 0.8417,             0.00014884,             0.00014884,             0.00014884
                     71,                0.45901,                 1.0283,                0.86638,                0.79709,                0.77446,                0.91201,                0.87326,                0.35707,                0.64767,                0.84046,              0.0001485,              0.0001485,              0.0001485
                     72,                0.44329,                 1.0142,                0.86267,                0.73274,                0.82056,                0.90349,                0.86155,                0.36384,                0.65706,                0.84349,             0.00014816,             0.00014816,             0.00014816
                     73,                0.45983,                  1.093,                 0.8643,                0.78897,                0.75525,                0.90111,                0.85608,                0.36444,                0.64388,                 0.8367,             0.00014782,             0.00014782,             0.00014782
                     74,                 0.4467,                 1.0117,                0.85711,                0.73333,                0.80201,                0.88721,                0.85194,                0.36907,                0.62805,                0.84311,             0.00014748,             0.00014748,             0.00014748
                     75,                 0.4446,                0.97446,                0.85355,                0.70081,                 0.8456,                0.90317,                0.86395,                0.36056,                0.61833,                0.83598,             0.00014714,             0.00014714,             0.00014714
                     76,                 0.4339,                0.95404,                0.85893,                 0.7422,                0.83908,                0.90651,                0.85687,                0.36046,                0.62327,                0.83326,              0.0001468,              0.0001468,              0.0001468
                     77,                0.43927,                 1.0061,                 0.8529,                0.79096,                0.79108,                0.91794,                 0.8824,                0.34595,                0.61993,                 0.8385,             0.00014646,             0.00014646,             0.00014646
                     78,                0.45542,                 1.0107,                0.85784,                0.74147,                0.80847,                0.91511,                0.87915,                0.34416,                0.62774,                0.83273,             0.00014612,             0.00014612,             0.00014612
                     79,                0.45296,                0.94798,                0.86037,                0.71176,                0.84157,                0.90919,                0.87556,                0.34505,                0.62866,                0.83513,             0.00014578,             0.00014578,             0.00014578
                     80,                 0.4282,                 0.9793,                0.85283,                0.81196,                0.80312,                0.93305,                0.89622,                0.33939,                0.60297,                0.83055,             0.00014544,             0.00014544,             0.00014544
                     81,                0.44995,                0.97462,                0.85324,                0.79966,                0.81494,                 0.9381,                0.89462,                0.35077,                0.60499,                0.83479,              0.0001451,              0.0001451,              0.0001451
                     82,                0.44745,                0.95958,                0.85537,                0.82492,                0.81788,                0.94287,                0.90599,                 0.3459,                0.58894,                0.83192,             0.00014476,             0.00014476,             0.00014476
                     83,                0.42972,                0.87808,                0.85528,                0.78751,                0.83237,                0.93516,                0.89284,                0.35069,                0.59768,                0.83565,             0.00014441,             0.00014441,             0.00014441
                     84,                 0.4338,                0.93761,                0.85866,                0.73872,                0.87528,                0.94153,                0.90993,                0.35598,                0.61836,                0.83679,             0.00014407,             0.00014407,             0.00014407
                     85,                0.43993,                0.92406,                0.86564,                0.73563,                0.89852,                0.95265,                0.91804,                0.33819,                0.59645,                0.83151,             0.00014373,             0.00014373,             0.00014373
                     86,                0.43978,                0.94284,                0.85706,                0.74798,                0.89135,                0.94228,                0.90883,                0.34623,                0.57232,                0.83001,             0.00014339,             0.00014339,             0.00014339
                     87,                0.44405,                0.95289,                0.85442,                0.74734,                0.89273,                0.93849,                 0.9016,                0.34571,                0.56514,                0.83099,             0.00014305,             0.00014305,             0.00014305
                     88,                0.42068,                0.84331,                0.85182,                0.76466,                0.87681,                 0.9388,                0.90375,                0.33578,                0.56641,                0.82986,             0.00014271,             0.00014271,             0.00014271
