                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.50363,                 2.1167,                 0.8625,                0.63747,                0.35013,                0.40318,                0.38004,                0.38961,                 1.3861,                0.85619,              0.0001141,              0.0001141,              0.0001141
                     37,                0.53004,                 1.9292,                0.88915,                 0.5966,                0.38674,                0.41263,                0.38913,                0.38665,                 1.3722,                 0.8524,              0.0001124,              0.0001124,              0.0001124
                     38,                0.49835,                 1.7953,                0.87788,                0.62502,                0.35263,                0.43578,                0.40029,                0.44679,                  1.269,                0.87449,              0.0001107,              0.0001107,              0.0001107
                     39,                0.50908,                 1.8704,                0.86966,                0.63363,                0.37692,                0.44319,                0.42069,                0.38965,                 1.2389,                0.85751,               0.000109,               0.000109,               0.000109
                     40,                0.49715,                 1.8415,                0.87707,                0.63908,                0.40115,                0.47493,                0.44798,                0.39659,                 1.3119,                0.85256,             0.00010729,             0.00010729,             0.00010729
                     41,                0.50145,                 1.7071,                0.87782,                0.62524,                0.39472,                0.49015,                0.46004,                0.42484,                 1.2468,                0.86476,             0.00010559,             0.00010559,             0.00010559
                     42,                0.48755,                 1.6751,                 0.8678,                0.48334,                0.43372,                0.50464,                0.47796,                0.39081,                 1.1604,                0.85767,             0.00010389,             0.00010389,             0.00010389
                     43,                0.49019,                  1.652,                0.86588,                0.48546,                0.48367,                0.54186,                0.51459,                  0.376,                 1.1907,                0.85492,             0.00010219,             0.00010219,             0.00010219
                     44,                0.48531,                 1.6211,                0.86957,                0.50909,                0.50356,                0.54052,                0.51599,                0.37522,                 1.1377,                0.85247,             0.00010048,             0.00010048,             0.00010048
                     45,                 0.4933,                  1.559,                0.86845,                0.51339,                0.52485,                0.54154,                0.51621,                0.38403,                 1.0778,                0.85271,              9.878e-05,              9.878e-05,              9.878e-05
                     46,                0.48286,                  1.636,                0.87149,                0.50736,                0.52074,                0.54982,                0.52177,                0.39897,                 1.0575,                0.86024,             9.7077e-05,             9.7077e-05,             9.7077e-05
                     47,                0.49724,                  1.618,                0.87446,                0.48812,                0.54312,                0.54674,                0.52217,                0.37512,                 1.0567,                0.85412,             9.5374e-05,             9.5374e-05,             9.5374e-05
                     48,                0.48726,                 1.5361,                0.86822,                0.47226,                0.53875,                0.55894,                0.52897,                0.37655,                 1.0568,                0.85011,             9.3671e-05,             9.3671e-05,             9.3671e-05
                     49,                0.47596,                 1.4583,                 0.8656,                0.49537,                0.55417,                0.57629,                0.54388,                0.38224,                 1.0242,                0.85585,             9.1968e-05,             9.1968e-05,             9.1968e-05
                     50,                0.49388,                 1.6098,                0.86851,                0.52623,                 0.5964,                0.59723,                0.56788,                 0.3693,                 1.0124,                0.85082,             9.0266e-05,             9.0266e-05,             9.0266e-05
                     51,                0.48796,                 1.5921,                0.85909,                0.58619,                 0.5874,                0.63275,                0.59456,                0.40434,                 1.0005,                 0.8527,             8.8563e-05,             8.8563e-05,             8.8563e-05
                     52,                0.49393,                 1.5563,                0.85959,                0.59315,                0.60232,                0.64727,                0.61015,                0.39938,                0.93549,                0.85381,              8.686e-05,              8.686e-05,              8.686e-05
                     53,                0.46464,                 1.4069,                 0.8729,                 0.5773,                0.60441,                0.65163,                0.62317,                 0.3738,                0.92149,                0.85226,             8.5157e-05,             8.5157e-05,             8.5157e-05
                     54,                0.44984,                 1.2263,                0.87313,                0.56951,                0.61097,                0.64037,                 0.6019,                0.38565,                0.93679,                0.85583,             8.3454e-05,             8.3454e-05,             8.3454e-05
                     55,                0.46332,                 1.4422,                0.86855,                0.58405,                0.60486,                0.64141,                0.60535,                  0.387,                0.96113,                0.85618,             8.1752e-05,             8.1752e-05,             8.1752e-05
                     56,                0.47884,                 1.3838,                0.86273,                0.68785,                0.58346,                0.67376,                0.64277,                0.37183,                0.95042,                0.85018,             8.0049e-05,             8.0049e-05,             8.0049e-05
                     57,                0.48482,                 1.3809,                0.87249,                0.75231,                0.56549,                0.69183,                0.65985,                0.36379,                0.91703,                0.84646,             7.8346e-05,             7.8346e-05,             7.8346e-05
                     58,                0.47499,                 1.3158,                0.86884,                0.71873,                 0.6124,                0.69171,                0.65298,                0.40232,                0.89321,                0.86281,             7.6643e-05,             7.6643e-05,             7.6643e-05
                     59,                0.48316,                 1.3795,                0.86064,                0.69731,                0.63221,                0.68713,                0.64952,                0.37325,                0.87836,                0.85032,              7.494e-05,              7.494e-05,              7.494e-05
                     60,                0.46598,                 1.3039,                0.86351,                 0.7132,                0.61695,                0.69906,                0.66886,                 0.3559,                0.88627,                 0.8467,             7.3238e-05,             7.3238e-05,             7.3238e-05
                     61,                0.46751,                 1.2791,                0.87572,                0.71645,                0.62093,                0.70802,                0.67764,                0.35146,                0.88909,                0.84514,             7.1535e-05,             7.1535e-05,             7.1535e-05
                     62,                0.47555,                 1.3142,                0.86179,                0.77009,                0.64824,                0.72677,                  0.691,                0.36755,                 0.8719,                 0.8478,             6.9832e-05,             6.9832e-05,             6.9832e-05
                     63,                0.47237,                 1.2756,                0.86606,                0.78455,                0.64479,                0.73719,                0.70529,                0.36213,                 0.8451,                0.84419,             6.8129e-05,             6.8129e-05,             6.8129e-05
                     64,                0.47017,                 1.4082,                 0.8648,                0.75805,                0.62947,                0.74226,                0.71141,                0.35831,                0.84383,                 0.8439,             6.6426e-05,             6.6426e-05,             6.6426e-05
                     65,                0.44661,                 1.3159,                0.85909,                 0.6411,                 0.6617,                0.74157,                0.70978,                0.36461,                0.84527,                0.84792,             6.4724e-05,             6.4724e-05,             6.4724e-05
                     66,                0.45031,                 1.3141,                0.87871,                0.63787,                0.68579,                0.74033,                0.71348,                0.36094,                 0.8256,                0.84934,             6.3021e-05,             6.3021e-05,             6.3021e-05
                     67,                0.44874,                 1.2627,                0.86771,                 0.6995,                0.65347,                0.75508,                0.72632,                0.35118,                0.80497,                0.84587,             6.1318e-05,             6.1318e-05,             6.1318e-05
                     68,                0.45037,                 1.1969,                0.86176,                0.66623,                0.68744,                0.75585,                0.72605,                 0.3544,                0.79205,                0.84361,             5.9615e-05,             5.9615e-05,             5.9615e-05
                     69,                0.46398,                 1.2552,                0.86752,                0.73143,                0.66945,                0.76666,                0.73418,                0.36387,                0.80255,                0.84868,             5.7912e-05,             5.7912e-05,             5.7912e-05
                     70,                0.48091,                 1.2503,                0.89054,                 0.8005,                0.64257,                0.76201,                0.73331,                0.35129,                0.78335,                0.84727,              5.621e-05,              5.621e-05,              5.621e-05
                     71,                0.46421,                 1.2229,                0.86946,                0.80225,                0.63367,                0.77667,                 0.7503,                0.35416,                0.77955,                0.84927,             5.4507e-05,             5.4507e-05,             5.4507e-05
                     72,                0.43876,                 1.2021,                 0.8645,                0.78857,                0.64509,                0.76466,                  0.735,                0.35234,                0.78081,                0.84707,             5.2804e-05,             5.2804e-05,             5.2804e-05
                     73,                0.46822,                 1.2986,                0.87013,                 0.7874,                0.65314,                0.76492,                 0.7328,                0.35363,                0.77771,                0.84378,             5.1101e-05,             5.1101e-05,             5.1101e-05
                     74,                 0.4546,                 1.2254,                0.86181,                 0.7603,                0.65965,                0.76909,                0.73155,                0.36021,                0.75602,                0.84345,             4.9398e-05,             4.9398e-05,             4.9398e-05
                     75,                0.44794,                 1.1857,                0.85802,                0.77992,                0.62912,                0.77067,                0.74263,                0.35407,                0.75446,                0.84324,             4.7696e-05,             4.7696e-05,             4.7696e-05
                     76,                0.44323,                  1.159,                0.86553,                0.68152,                0.71357,                0.77786,                0.74218,                0.36258,                0.74921,                0.84713,             4.5993e-05,             4.5993e-05,             4.5993e-05
                     77,                0.44638,                 1.2219,                0.85816,                0.70536,                0.72376,                0.78549,                0.74733,                0.35711,                0.75255,                0.84524,              4.429e-05,              4.429e-05,              4.429e-05
                     78,                 0.4647,                 1.2255,                0.86532,                0.73467,                0.72184,                0.78533,                0.75702,                0.34291,                0.74793,                0.84183,             4.2587e-05,             4.2587e-05,             4.2587e-05
                     79,                0.46666,                 1.1499,                0.87097,                 0.7028,                0.70494,                0.79144,                0.76475,                0.34439,                0.74605,                0.84107,             4.0884e-05,             4.0884e-05,             4.0884e-05
                     80,                0.43994,                 1.2008,                0.85989,                0.68754,                0.69845,                0.79543,                0.76468,                0.35094,                0.76013,                0.84349,             3.9182e-05,             3.9182e-05,             3.9182e-05
                     81,                0.45599,                 1.1748,                0.85771,                0.68205,                0.71118,                0.80288,                0.77379,                0.34641,                0.75263,                0.84202,             3.7479e-05,             3.7479e-05,             3.7479e-05
                     82,                0.45963,                 1.1657,                0.86169,                0.67945,                0.72933,                0.79301,                0.76486,                0.34343,                0.74081,                0.84235,             3.5776e-05,             3.5776e-05,             3.5776e-05
                     83,                0.44052,                 1.1007,                0.86056,                0.70557,                0.72672,                0.79199,                0.76176,                0.34927,                0.73326,                0.84274,             3.4073e-05,             3.4073e-05,             3.4073e-05
                     84,                0.44255,                 1.1675,                0.86417,                0.68727,                0.72784,                0.79998,                0.77091,                0.34267,                0.73718,                0.84184,              3.237e-05,              3.237e-05,              3.237e-05
                     85,                0.45302,                 1.1132,                0.87284,                0.68739,                0.74244,                 0.8067,                0.77673,                0.34214,                 0.7281,                0.84168,             3.0668e-05,             3.0668e-05,             3.0668e-05
                     86,                0.45163,                 1.1589,                0.86516,                0.68468,                0.74351,                0.81221,                0.78127,                0.34068,                0.71875,                0.84063,             2.8965e-05,             2.8965e-05,             2.8965e-05
                     87,                0.44944,                 1.1897,                0.86079,                0.66781,                0.75419,                0.81452,                0.78355,                0.34183,                0.71607,                0.84027,             2.7262e-05,             2.7262e-05,             2.7262e-05
                     88,                0.43461,                 1.0633,                0.86032,                0.67271,                0.76831,                0.80718,                0.77657,                0.34516,                0.71348,                0.84204,             2.5559e-05,             2.5559e-05,             2.5559e-05
                     89,                0.42994,                 1.2212,                0.86596,                 0.6648,                0.76836,                0.80985,                0.77861,                0.34451,                0.70826,                0.84255,             2.3856e-05,             2.3856e-05,             2.3856e-05
                     90,                0.43961,                  1.149,                0.86242,                0.69396,                0.75134,                0.81598,                0.78539,                0.34215,                0.70792,                0.84167,             2.2154e-05,             2.2154e-05,             2.2154e-05
                     91,                0.41469,                0.95102,                0.86425,                0.78024,                0.70259,                0.82925,                0.79945,                0.34882,                0.68527,                 0.8448,             2.0451e-05,             2.0451e-05,             2.0451e-05
                     92,                0.41388,                0.92936,                0.88089,                0.76897,                0.72152,                 0.8276,                0.78997,                0.36161,                0.68577,                0.85162,             1.8748e-05,             1.8748e-05,             1.8748e-05
                     93,                0.41242,                0.97466,                0.86879,                0.81384,                0.70675,                0.82873,                0.79137,                0.35984,                0.68485,                0.85136,             1.7045e-05,             1.7045e-05,             1.7045e-05
                     94,                0.39901,                0.90684,                0.86559,                 0.7807,                0.71743,                0.82253,                0.79219,                 0.3474,                0.69267,                0.84688,             1.5342e-05,             1.5342e-05,             1.5342e-05
                     95,                0.41173,                0.93891,                0.86459,                0.76968,                 0.7209,                0.82401,                0.79177,                 0.3484,                0.69702,                0.84712,              1.364e-05,              1.364e-05,              1.364e-05
                     96,                0.38713,                0.97171,                0.86898,                0.77426,                0.73916,                0.84235,                0.80968,                0.35264,                0.69817,                  0.848,             1.1937e-05,             1.1937e-05,             1.1937e-05
                     97,                0.40269,                0.89915,                 0.8635,                  0.775,                0.74287,                0.85221,                0.81663,                0.35433,                0.69333,                0.84826,             1.0234e-05,             1.0234e-05,             1.0234e-05
                     98,                0.39522,                0.88688,                0.86518,                0.74417,                0.77383,                0.85938,                0.82438,                0.35104,                0.68475,                0.84795,             8.5312e-06,             8.5312e-06,             8.5312e-06
                     99,                0.39396,                0.85835,                0.86886,                0.72203,                0.77601,                 0.8589,                0.82305,                0.35015,                0.68069,                0.84827,             6.8284e-06,             6.8284e-06,             6.8284e-06
                    100,                0.39668,                 0.8756,                0.85618,                0.75375,                 0.7643,                0.85738,                0.82126,                0.35134,                0.67525,                0.84883,             5.1256e-06,             5.1256e-06,             5.1256e-06
