                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3207,                 1.3181,                  1.186,                0.94255,                0.88555,                  0.917,                0.55144,                 1.4062,                0.89262,                 1.1737,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.2768,                 0.8645,                 1.1413,                0.95488,                0.88977,                0.92281,                0.56632,                 1.3553,                0.73702,                 1.1367,              0.0065982,              0.0065982,              0.0065982
                      3,                 1.3098,                0.81334,                 1.1593,                0.92581,                0.87216,                0.90141,                0.52233,                 1.4301,                0.76472,                 1.1823,              0.0097995,              0.0097995,              0.0097995
                      4,                 1.3116,                0.78293,                 1.1698,                0.96586,                0.88918,                0.93136,                 0.5773,                 1.3585,                0.69588,                 1.1468,               0.009703,               0.009703,               0.009703
                      5,                 1.2753,                 0.7345,                 1.1547,                0.94573,                0.90338,                0.93645,                0.59984,                  1.315,                0.62763,                 1.1299,               0.009703,               0.009703,               0.009703
                      6,                 1.2473,                 0.6996,                 1.1362,                0.96424,                0.91074,                0.94578,                0.61014,                 1.2719,                0.59772,                 1.1134,               0.009604,               0.009604,               0.009604
                      7,                  1.221,                0.66874,                 1.1302,                0.95542,                0.91182,                0.93919,                0.61817,                 1.2541,                0.58344,                    1.1,               0.009505,               0.009505,               0.009505
                      8,                 1.2088,                0.64764,                  1.121,                0.96791,                0.91944,                0.95025,                0.62563,                 1.2458,                0.56647,                 1.0908,               0.009406,               0.009406,               0.009406
                      9,                 1.1922,                0.63818,                 1.1127,                0.96763,                0.91276,                0.94149,                0.62036,                 1.2511,                0.57057,                 1.0958,               0.009307,               0.009307,               0.009307
                     10,                  1.174,                0.62439,                  1.107,                0.97272,                 0.9197,                0.95016,                0.62036,                 1.2708,                 0.5469,                 1.1012,               0.009208,               0.009208,               0.009208
                     11,                 1.1733,                0.61207,                 1.1043,                0.97044,                0.92026,                0.95192,                0.62408,                  1.252,                0.54205,                 1.0976,               0.009109,               0.009109,               0.009109
                     12,                 1.1599,                0.59804,                 1.0997,                0.96549,                0.92495,                0.95131,                0.64003,                 1.2278,                0.52448,                 1.0801,                0.00901,                0.00901,                0.00901
                     13,                 1.1584,                0.59123,                 1.0985,                0.96736,                0.92214,                0.94992,                0.64822,                 1.2013,                0.51543,                 1.0712,               0.008911,               0.008911,               0.008911
                     14,                 1.1421,                0.58307,                 1.0922,                0.97451,                0.92542,                0.95891,                0.65838,                 1.1827,                0.48529,                 1.0642,               0.008812,               0.008812,               0.008812
                     15,                 1.1433,                0.57652,                 1.0925,                0.96708,                0.92305,                0.95624,                0.65768,                 1.1857,                0.48983,                 1.0633,               0.008713,               0.008713,               0.008713
                     16,                 1.1405,                0.57781,                 1.0858,                0.96937,                0.92683,                 0.9554,                0.64507,                 1.2215,                0.48919,                 1.0788,               0.008614,               0.008614,               0.008614
                     17,                 1.1294,                0.56606,                  1.086,                0.97789,                0.92167,                0.95727,                0.65401,                 1.1818,                0.48217,                 1.0607,               0.008515,               0.008515,               0.008515
                     18,                 1.1246,                0.55883,                 1.0795,                0.97181,                0.92261,                0.95538,                0.66329,                 1.1601,                0.47385,                 1.0534,               0.008416,               0.008416,               0.008416
                     19,                 1.1194,                0.55538,                 1.0764,                0.96991,                0.92964,                0.96031,                0.66841,                 1.1625,                0.46147,                 1.0526,               0.008317,               0.008317,               0.008317
                     20,                 1.1204,                0.55181,                 1.0777,                0.97325,                0.93246,                0.95916,                0.66446,                 1.1704,                0.45996,                 1.0572,               0.008218,               0.008218,               0.008218
                     21,                 1.1133,                0.54566,                 1.0759,                0.97071,                 0.9327,                0.96085,                 0.6677,                 1.1486,                0.45355,                 1.0518,               0.008119,               0.008119,               0.008119
